,latitude,longitude,area,area_name,country_name
117,40.339852,127.510093,NORTH KOREA,North Korea,NORTH KOREA
118,35.90775700000001,127.766922,SOUTH KOREA,South Korea,SOUTH KOREA
119,29.31166,47.481766,KUWAIT,Kuwait,KUWAIT
120,19.513469,-80.566956,CAYMAN ISLANDS,Cayman Islands,CAYMAN ISLANDS
121,48.019573,66.923684,KAZAKHSTAN,Kazakhstan,KAZAKHSTAN
122,19.85627,102.495496,LAOS,Laos,LAOS
123,33.854721000000005,35.862285,LEBANON,Lebanon,LEBANON
124,13.909444,-60.97889300000001,SAINT LUCIA,Saint Lucia,SAINT LUCIA
125,47.166,9.555373,LIECHTENSTEIN,Liechtenstein,LIECHTENSTEIN
126,7.873054,80.77179699999998,SRI LANKA,Sri Lanka,SRI LANKA
127,6.4280550000000005,-9.429499,LIBERIA,Liberia,LIBERIA
128,-29.609988,28.233608,LESOTHO,Lesotho,LESOTHO
129,55.169438,23.881275,LITHUANIA,Lithuania,LITHUANIA
130,49.815273,6.129583,LUXEMBOURG,Luxembourg,LUXEMBOURG
131,56.879635,24.603189,LATVIA,Latvia,LATVIA
132,26.3351,17.228331,LIBYA,Libya,LIBYA
133,31.791702,-7.09262,MOROCCO,Morocco,MOROCCO
134,43.750298,7.412841,MONACO,Monaco,MONACO
135,47.411631,28.369885,MOLDOVA,Moldova,MOLDOVA
136,42.708678000000006,19.37439,MONTENEGRO,Montenegro,MONTENEGRO
137,-18.766947,46.869107,MADAGASCAR,Madagascar,MADAGASCAR
138,7.131474000000001,171.184478,MARSHALL ISLANDS,Marshall Islands,MARSHALL ISLANDS
139,41.608635,21.745275,MACEDONIA [FYROM],Macedonia [FYROM],MACEDONIA [FYROM]
140,17.570692,-3.996166000000001,MALI,Mali,MALI
141,21.913965,95.956223,MYANMAR [BURMA],Myanmar [Burma],MYANMAR [BURMA]
142,46.862496,103.846656,MONGOLIA,Mongolia,MONGOLIA
143,22.198745,113.543873,MACAU,Macau,MACAU
144,17.33083,145.38468999999995,NORTHERN MARIANA ISLANDS,Northern Mariana Islands,NORTHERN MARIANA ISLANDS
145,14.641528,-61.024174,MARTINIQUE,Martinique,MARTINIQUE
146,21.00789,-10.940835,MAURITANIA,Mauritania,MAURITANIA
147,16.742498,-62.187366,MONTSERRAT,Montserrat,MONTSERRAT
148,35.937496,14.375416,MALTA,Malta,MALTA
149,-20.348404,57.552152,MAURITIUS,Mauritius,MAURITIUS
150,3.202778,73.22068,MALDIVES,Maldives,MALDIVES
151,-13.254307999999998,34.301525,MALAWI,Malawi,MALAWI
152,23.634501,-102.552784,MEXICO,Mexico,MEXICO
153,4.210483999999999,101.975766,MALAYSIA,Malaysia,MALAYSIA
154,-18.665695,35.529562,MOZAMBIQUE,Mozambique,MOZAMBIQUE
155,-22.95764,18.49041,NAMIBIA,Namibia,NAMIBIA
156,-20.904305,165.618042,NEW CALEDONIA,New Caledonia,NEW CALEDONIA
157,17.607789,8.081666,NIGER,Niger,NIGER
158,-29.040835,167.954712,NORFOLK ISLAND,Norfolk Island,NORFOLK ISLAND
159,9.081999,8.675277000000001,NIGERIA,Nigeria,NIGERIA
